Time,Last,Open,High,Low,Volume,Exchange Rate,CPI,GDP,Interest,Dow Jones,Hang Seng,Gold Price,Oil Price
23/11/2018,187.74,189.78,187.70,188.55,24824328,"23,302.50",-0.29,"1,851,928.00",5.191,"24,285.95","25,927.68","1,226.6",50.42
22/11/2018,187.97,189.82,187.40,187.73,18880482,"23,308.00",-0.29,"1,851,928.00",5.176,"19,244.07","26,019.41","1,223.2",54.02
21/11/2018,186.03,187.09,184.07,187.04,17559365,"23,319.00",-0.29,"1,851,928.00",5.176,"24,464.69","25,971.47","1,231.2",54.63
20/11/2018,186.28,186.52,184.21,186.38,17619622,"23,319.00",-0.29,"1,851,928.00",5.162,"24,465.64","25,840.34","1,224.4",53.43
19/11/2018,182.99,187.12,182.99,186.31,15353739,"23,288.00",-0.29,"1,851,928.00",5.198,"25,017.44","26,372.00","1,228.6",56.76
16/11/2018,181.08,186.15,181.08,184.48,18928725,"23,287.50",-0.29,"1,851,928.00",5.155,"25,413.22","26,183.53","1,226.4",56.46
15/11/2018,181.58,183.84,180.74,181.48,21010584,"23,302.50",-0.29,"1,851,928.00",5.190,"25,289.27","26,103.34","1,218.6",56.46
14/11/2018,183.86,185.21,181.40,182.04,17701431,"23,302.00",-0.29,"1,851,928.00",5.206,"25,080.50","25,654.43","1,213.8",56.25
13/11/2018,185.91,185.98,183.31,184.10,17029243,"23,306.00",-0.29,"1,851,928.00",5.189,"25,286.49","25,792.87","1,205.1",55.69
12/11/2018,184.78,186.28,183.24,186.28,16724100,"23,312.50",-0.29,"1,851,928.00",5.176,"25,387.18","25,633.18","1,207.3",59.93
09/11/2018,188.33,188.59,184.62,184.76,17767700,"23,333.00",-0.29,"1,851,928.00",5.176,"25,989.30","25,601.92","1,212.6",60.19
08/11/2018,188.51,191.78,187.84,188.43,17232591,"23,307.50",-0.29,"1,851,928.00",5.171,"26,191.22","26,227.72","1,229.3",60.67
07/11/2018,188.88,190.14,187.20,188.14,16096766,"23,284.00",-0.29,"1,851,928.00",5.174,"26,180.30","26,147.69","1,233.1",61.67
06/11/2018,190.03,191.92,188.77,188.77,17703153,"23,301.00",-0.29,"1,851,928.00",5.177,"25,635.01","26,120.96","1,230.5",62.21
05/11/2018,190.15,191.78,187.39,190.31,17159800,"23,317.50",-0.29,"1,851,928.00",5.171,"25,461.70","25,934.39","1,236.2",63.10
02/11/2018,185.24,190.10,185.18,190.07,21917032,"23,328.00",-0.29,"1,851,928.00",5.178,"25,270.83","26,486.35","1,237.0",63.14
01/11/2018,188.64,190.02,185.38,185.47,17373552,"23,336.00",-0.29,"1,851,928.00",5.182,"25,380.74","25,416.00","1,241.5",63.69
